combination_id,segment_id,segment_name,lifecycle_stage,lifecycle_description,dominant_propensity,activation_level,primary_goal,sub_goals,day_on_day_progression_goals,lifecycle_context
S4_paid,S4,Coin Collectors,paid,Engaged - Maximizing Value,gamification,Medium,Increase gamification engagement • deepening engagement & retention,"['Drive gamification feature usage (Paid context: Sustained usage and progression)', 'Improve gamification adoption metrics (Paid context: Sustained usage and progression)']",['Track daily gamification metrics • Track in paid phase'],"{'stage': 'paid', 'description': 'Engaged - Maximizing Value', 'goal_modifier': 'deepening engagement & retention', 'focus': 'Sustained usage and progression'}"
S4_churned,S4,Coin Collectors,churned,At-Risk - Re-activation Needed,gamification,Medium,Increase gamification engagement • re-engagement & recovering lost habits,"['Drive gamification feature usage (Churned context: Breaking inactivity cycle)', 'Improve gamification adoption metrics (Churned context: Breaking inactivity cycle)']",['Track daily gamification metrics • Track in churned phase'],"{'stage': 'churned', 'description': 'At-Risk - Re-activation Needed', 'goal_modifier': 're-engagement & recovering lost habits', 'focus': 'Breaking inactivity cycle'}"
S4_trial,S4,Coin Collectors,trial,Early Stage - Building Habits,gamification,Medium,Increase gamification engagement • rapid adoption & habit formation,"['Drive gamification feature usage (Trial context: Quick wins and onboarding)', 'Improve gamification adoption metrics (Trial context: Quick wins and onboarding)']",['Track daily gamification metrics • Track in trial phase'],"{'stage': 'trial', 'description': 'Early Stage - Building Habits', 'goal_modifier': 'rapid adoption & habit formation', 'focus': 'Quick wins and onboarding'}"
S4_inactive,S4,Coin Collectors,inactive,Dormant - Win-Back Campaign,gamification,Medium,Increase gamification engagement • compelling return value proposition,"['Drive gamification feature usage (Inactive context: Removing friction to return)', 'Improve gamification adoption metrics (Inactive context: Removing friction to return)']",['Track daily gamification metrics • Track in inactive phase'],"{'stage': 'inactive', 'description': 'Dormant - Win-Back Campaign', 'goal_modifier': 'compelling return value proposition', 'focus': 'Removing friction to return'}"
S7_paid,S7,Fading Players,paid,Engaged - Maximizing Value,gamification,Low,Increase gamification engagement • deepening engagement & retention,"['Drive gamification feature usage (Paid context: Sustained usage and progression)', 'Improve gamification adoption metrics (Paid context: Sustained usage and progression)']",['Track daily gamification metrics • Track in paid phase'],"{'stage': 'paid', 'description': 'Engaged - Maximizing Value', 'goal_modifier': 'deepening engagement & retention', 'focus': 'Sustained usage and progression'}"
S7_churned,S7,Fading Players,churned,At-Risk - Re-activation Needed,gamification,Low,Increase gamification engagement • re-engagement & recovering lost habits,"['Drive gamification feature usage (Churned context: Breaking inactivity cycle)', 'Improve gamification adoption metrics (Churned context: Breaking inactivity cycle)']",['Track daily gamification metrics • Track in churned phase'],"{'stage': 'churned', 'description': 'At-Risk - Re-activation Needed', 'goal_modifier': 're-engagement & recovering lost habits', 'focus': 'Breaking inactivity cycle'}"
S7_trial,S7,Fading Players,trial,Early Stage - Building Habits,gamification,Low,Increase gamification engagement • rapid adoption & habit formation,"['Drive gamification feature usage (Trial context: Quick wins and onboarding)', 'Improve gamification adoption metrics (Trial context: Quick wins and onboarding)']",['Track daily gamification metrics • Track in trial phase'],"{'stage': 'trial', 'description': 'Early Stage - Building Habits', 'goal_modifier': 'rapid adoption & habit formation', 'focus': 'Quick wins and onboarding'}"
S7_inactive,S7,Fading Players,inactive,Dormant - Win-Back Campaign,gamification,Low,Increase gamification engagement • compelling return value proposition,"['Drive gamification feature usage (Inactive context: Removing friction to return)', 'Improve gamification adoption metrics (Inactive context: Removing friction to return)']",['Track daily gamification metrics • Track in inactive phase'],"{'stage': 'inactive', 'description': 'Dormant - Win-Back Campaign', 'goal_modifier': 'compelling return value proposition', 'focus': 'Removing friction to return'}"
S6_paid,S6,Social Observers,paid,Engaged - Maximizing Value,leaderboard,Medium,Increase leaderboard engagement • deepening engagement & retention,"['Drive leaderboard feature usage (Paid context: Sustained usage and progression)', 'Improve leaderboard adoption metrics (Paid context: Sustained usage and progression)']",['Track daily leaderboard metrics • Track in paid phase'],"{'stage': 'paid', 'description': 'Engaged - Maximizing Value', 'goal_modifier': 'deepening engagement & retention', 'focus': 'Sustained usage and progression'}"
S6_churned,S6,Social Observers,churned,At-Risk - Re-activation Needed,leaderboard,Medium,Increase leaderboard engagement • re-engagement & recovering lost habits,"['Drive leaderboard feature usage (Churned context: Breaking inactivity cycle)', 'Improve leaderboard adoption metrics (Churned context: Breaking inactivity cycle)']",['Track daily leaderboard metrics • Track in churned phase'],"{'stage': 'churned', 'description': 'At-Risk - Re-activation Needed', 'goal_modifier': 're-engagement & recovering lost habits', 'focus': 'Breaking inactivity cycle'}"
S6_trial,S6,Social Observers,trial,Early Stage - Building Habits,leaderboard,Medium,Increase leaderboard engagement • rapid adoption & habit formation,"['Drive leaderboard feature usage (Trial context: Quick wins and onboarding)', 'Improve leaderboard adoption metrics (Trial context: Quick wins and onboarding)']",['Track daily leaderboard metrics • Track in trial phase'],"{'stage': 'trial', 'description': 'Early Stage - Building Habits', 'goal_modifier': 'rapid adoption & habit formation', 'focus': 'Quick wins and onboarding'}"
S6_inactive,S6,Social Observers,inactive,Dormant - Win-Back Campaign,leaderboard,Medium,Increase leaderboard engagement • compelling return value proposition,"['Drive leaderboard feature usage (Inactive context: Removing friction to return)', 'Improve leaderboard adoption metrics (Inactive context: Removing friction to return)']",['Track daily leaderboard metrics • Track in inactive phase'],"{'stage': 'inactive', 'description': 'Dormant - Win-Back Campaign', 'goal_modifier': 'compelling return value proposition', 'focus': 'Removing friction to return'}"
S5_paid,S5,Steady Students,paid,Engaged - Maximizing Value,ai_tutor,Medium,Increase ai_tutor engagement • deepening engagement & retention,"['Drive ai_tutor feature usage (Paid context: Sustained usage and progression)', 'Improve ai_tutor adoption metrics (Paid context: Sustained usage and progression)']",['Track daily ai_tutor metrics • Track in paid phase'],"{'stage': 'paid', 'description': 'Engaged - Maximizing Value', 'goal_modifier': 'deepening engagement & retention', 'focus': 'Sustained usage and progression'}"
S5_churned,S5,Steady Students,churned,At-Risk - Re-activation Needed,ai_tutor,Medium,Increase ai_tutor engagement • re-engagement & recovering lost habits,"['Drive ai_tutor feature usage (Churned context: Breaking inactivity cycle)', 'Improve ai_tutor adoption metrics (Churned context: Breaking inactivity cycle)']",['Track daily ai_tutor metrics • Track in churned phase'],"{'stage': 'churned', 'description': 'At-Risk - Re-activation Needed', 'goal_modifier': 're-engagement & recovering lost habits', 'focus': 'Breaking inactivity cycle'}"
S5_trial,S5,Steady Students,trial,Early Stage - Building Habits,ai_tutor,Medium,Increase ai_tutor engagement • rapid adoption & habit formation,"['Drive ai_tutor feature usage (Trial context: Quick wins and onboarding)', 'Improve ai_tutor adoption metrics (Trial context: Quick wins and onboarding)']",['Track daily ai_tutor metrics • Track in trial phase'],"{'stage': 'trial', 'description': 'Early Stage - Building Habits', 'goal_modifier': 'rapid adoption & habit formation', 'focus': 'Quick wins and onboarding'}"
S5_inactive,S5,Steady Students,inactive,Dormant - Win-Back Campaign,ai_tutor,Medium,Increase ai_tutor engagement • compelling return value proposition,"['Drive ai_tutor feature usage (Inactive context: Removing friction to return)', 'Improve ai_tutor adoption metrics (Inactive context: Removing friction to return)']",['Track daily ai_tutor metrics • Track in inactive phase'],"{'stage': 'inactive', 'description': 'Dormant - Win-Back Campaign', 'goal_modifier': 'compelling return value proposition', 'focus': 'Removing friction to return'}"
S9_paid,S9,Disconnected,paid,Engaged - Maximizing Value,leaderboard,Low,Increase leaderboard engagement • deepening engagement & retention,"['Drive leaderboard feature usage (Paid context: Sustained usage and progression)', 'Improve leaderboard adoption metrics (Paid context: Sustained usage and progression)']",['Track daily leaderboard metrics • Track in paid phase'],"{'stage': 'paid', 'description': 'Engaged - Maximizing Value', 'goal_modifier': 'deepening engagement & retention', 'focus': 'Sustained usage and progression'}"
S9_churned,S9,Disconnected,churned,At-Risk - Re-activation Needed,leaderboard,Low,Increase leaderboard engagement • re-engagement & recovering lost habits,"['Drive leaderboard feature usage (Churned context: Breaking inactivity cycle)', 'Improve leaderboard adoption metrics (Churned context: Breaking inactivity cycle)']",['Track daily leaderboard metrics • Track in churned phase'],"{'stage': 'churned', 'description': 'At-Risk - Re-activation Needed', 'goal_modifier': 're-engagement & recovering lost habits', 'focus': 'Breaking inactivity cycle'}"
S9_trial,S9,Disconnected,trial,Early Stage - Building Habits,leaderboard,Low,Increase leaderboard engagement • rapid adoption & habit formation,"['Drive leaderboard feature usage (Trial context: Quick wins and onboarding)', 'Improve leaderboard adoption metrics (Trial context: Quick wins and onboarding)']",['Track daily leaderboard metrics • Track in trial phase'],"{'stage': 'trial', 'description': 'Early Stage - Building Habits', 'goal_modifier': 'rapid adoption & habit formation', 'focus': 'Quick wins and onboarding'}"
S9_inactive,S9,Disconnected,inactive,Dormant - Win-Back Campaign,leaderboard,Low,Increase leaderboard engagement • compelling return value proposition,"['Drive leaderboard feature usage (Inactive context: Removing friction to return)', 'Improve leaderboard adoption metrics (Inactive context: Removing friction to return)']",['Track daily leaderboard metrics • Track in inactive phase'],"{'stage': 'inactive', 'description': 'Dormant - Win-Back Campaign', 'goal_modifier': 'compelling return value proposition', 'focus': 'Removing friction to return'}"
S3_paid,S3,Top Competitors,paid,Engaged - Maximizing Value,leaderboard,High,Increase leaderboard engagement • deepening engagement & retention,"['Drive leaderboard feature usage (Paid context: Sustained usage and progression)', 'Improve leaderboard adoption metrics (Paid context: Sustained usage and progression)']",['Track daily leaderboard metrics • Track in paid phase'],"{'stage': 'paid', 'description': 'Engaged - Maximizing Value', 'goal_modifier': 'deepening engagement & retention', 'focus': 'Sustained usage and progression'}"
S3_churned,S3,Top Competitors,churned,At-Risk - Re-activation Needed,leaderboard,High,Increase leaderboard engagement • re-engagement & recovering lost habits,"['Drive leaderboard feature usage (Churned context: Breaking inactivity cycle)', 'Improve leaderboard adoption metrics (Churned context: Breaking inactivity cycle)']",['Track daily leaderboard metrics • Track in churned phase'],"{'stage': 'churned', 'description': 'At-Risk - Re-activation Needed', 'goal_modifier': 're-engagement & recovering lost habits', 'focus': 'Breaking inactivity cycle'}"
S3_trial,S3,Top Competitors,trial,Early Stage - Building Habits,leaderboard,High,Increase leaderboard engagement • rapid adoption & habit formation,"['Drive leaderboard feature usage (Trial context: Quick wins and onboarding)', 'Improve leaderboard adoption metrics (Trial context: Quick wins and onboarding)']",['Track daily leaderboard metrics • Track in trial phase'],"{'stage': 'trial', 'description': 'Early Stage - Building Habits', 'goal_modifier': 'rapid adoption & habit formation', 'focus': 'Quick wins and onboarding'}"
S3_inactive,S3,Top Competitors,inactive,Dormant - Win-Back Campaign,leaderboard,High,Increase leaderboard engagement • compelling return value proposition,"['Drive leaderboard feature usage (Inactive context: Removing friction to return)', 'Improve leaderboard adoption metrics (Inactive context: Removing friction to return)']",['Track daily leaderboard metrics • Track in inactive phase'],"{'stage': 'inactive', 'description': 'Dormant - Win-Back Campaign', 'goal_modifier': 'compelling return value proposition', 'focus': 'Removing friction to return'}"
S2_paid,S2,Power Learners,paid,Engaged - Maximizing Value,ai_tutor,High,Increase ai_tutor engagement • deepening engagement & retention,"['Drive ai_tutor feature usage (Paid context: Sustained usage and progression)', 'Improve ai_tutor adoption metrics (Paid context: Sustained usage and progression)']",['Track daily ai_tutor metrics • Track in paid phase'],"{'stage': 'paid', 'description': 'Engaged - Maximizing Value', 'goal_modifier': 'deepening engagement & retention', 'focus': 'Sustained usage and progression'}"
S2_churned,S2,Power Learners,churned,At-Risk - Re-activation Needed,ai_tutor,High,Increase ai_tutor engagement • re-engagement & recovering lost habits,"['Drive ai_tutor feature usage (Churned context: Breaking inactivity cycle)', 'Improve ai_tutor adoption metrics (Churned context: Breaking inactivity cycle)']",['Track daily ai_tutor metrics • Track in churned phase'],"{'stage': 'churned', 'description': 'At-Risk - Re-activation Needed', 'goal_modifier': 're-engagement & recovering lost habits', 'focus': 'Breaking inactivity cycle'}"
S2_trial,S2,Power Learners,trial,Early Stage - Building Habits,ai_tutor,High,Increase ai_tutor engagement • rapid adoption & habit formation,"['Drive ai_tutor feature usage (Trial context: Quick wins and onboarding)', 'Improve ai_tutor adoption metrics (Trial context: Quick wins and onboarding)']",['Track daily ai_tutor metrics • Track in trial phase'],"{'stage': 'trial', 'description': 'Early Stage - Building Habits', 'goal_modifier': 'rapid adoption & habit formation', 'focus': 'Quick wins and onboarding'}"
S2_inactive,S2,Power Learners,inactive,Dormant - Win-Back Campaign,ai_tutor,High,Increase ai_tutor engagement • compelling return value proposition,"['Drive ai_tutor feature usage (Inactive context: Removing friction to return)', 'Improve ai_tutor adoption metrics (Inactive context: Removing friction to return)']",['Track daily ai_tutor metrics • Track in inactive phase'],"{'stage': 'inactive', 'description': 'Dormant - Win-Back Campaign', 'goal_modifier': 'compelling return value proposition', 'focus': 'Removing friction to return'}"
S1_paid,S1,Streak Champions,paid,Engaged - Maximizing Value,gamification,High,Increase gamification engagement • deepening engagement & retention,"['Drive gamification feature usage (Paid context: Sustained usage and progression)', 'Improve gamification adoption metrics (Paid context: Sustained usage and progression)']",['Track daily gamification metrics • Track in paid phase'],"{'stage': 'paid', 'description': 'Engaged - Maximizing Value', 'goal_modifier': 'deepening engagement & retention', 'focus': 'Sustained usage and progression'}"
S1_churned,S1,Streak Champions,churned,At-Risk - Re-activation Needed,gamification,High,Increase gamification engagement • re-engagement & recovering lost habits,"['Drive gamification feature usage (Churned context: Breaking inactivity cycle)', 'Improve gamification adoption metrics (Churned context: Breaking inactivity cycle)']",['Track daily gamification metrics • Track in churned phase'],"{'stage': 'churned', 'description': 'At-Risk - Re-activation Needed', 'goal_modifier': 're-engagement & recovering lost habits', 'focus': 'Breaking inactivity cycle'}"
S1_trial,S1,Streak Champions,trial,Early Stage - Building Habits,gamification,High,Increase gamification engagement • rapid adoption & habit formation,"['Drive gamification feature usage (Trial context: Quick wins and onboarding)', 'Improve gamification adoption metrics (Trial context: Quick wins and onboarding)']",['Track daily gamification metrics • Track in trial phase'],"{'stage': 'trial', 'description': 'Early Stage - Building Habits', 'goal_modifier': 'rapid adoption & habit formation', 'focus': 'Quick wins and onboarding'}"
S1_inactive,S1,Streak Champions,inactive,Dormant - Win-Back Campaign,gamification,High,Increase gamification engagement • compelling return value proposition,"['Drive gamification feature usage (Inactive context: Removing friction to return)', 'Improve gamification adoption metrics (Inactive context: Removing friction to return)']",['Track daily gamification metrics • Track in inactive phase'],"{'stage': 'inactive', 'description': 'Dormant - Win-Back Campaign', 'goal_modifier': 'compelling return value proposition', 'focus': 'Removing friction to return'}"
S8_paid,S8,Stuck Users,paid,Engaged - Maximizing Value,ai_tutor,Low,Increase ai_tutor engagement • deepening engagement & retention,"['Drive ai_tutor feature usage (Paid context: Sustained usage and progression)', 'Improve ai_tutor adoption metrics (Paid context: Sustained usage and progression)']",['Track daily ai_tutor metrics • Track in paid phase'],"{'stage': 'paid', 'description': 'Engaged - Maximizing Value', 'goal_modifier': 'deepening engagement & retention', 'focus': 'Sustained usage and progression'}"
S8_churned,S8,Stuck Users,churned,At-Risk - Re-activation Needed,ai_tutor,Low,Increase ai_tutor engagement • re-engagement & recovering lost habits,"['Drive ai_tutor feature usage (Churned context: Breaking inactivity cycle)', 'Improve ai_tutor adoption metrics (Churned context: Breaking inactivity cycle)']",['Track daily ai_tutor metrics • Track in churned phase'],"{'stage': 'churned', 'description': 'At-Risk - Re-activation Needed', 'goal_modifier': 're-engagement & recovering lost habits', 'focus': 'Breaking inactivity cycle'}"
S8_trial,S8,Stuck Users,trial,Early Stage - Building Habits,ai_tutor,Low,Increase ai_tutor engagement • rapid adoption & habit formation,"['Drive ai_tutor feature usage (Trial context: Quick wins and onboarding)', 'Improve ai_tutor adoption metrics (Trial context: Quick wins and onboarding)']",['Track daily ai_tutor metrics • Track in trial phase'],"{'stage': 'trial', 'description': 'Early Stage - Building Habits', 'goal_modifier': 'rapid adoption & habit formation', 'focus': 'Quick wins and onboarding'}"
S8_inactive,S8,Stuck Users,inactive,Dormant - Win-Back Campaign,ai_tutor,Low,Increase ai_tutor engagement • compelling return value proposition,"['Drive ai_tutor feature usage (Inactive context: Removing friction to return)', 'Improve ai_tutor adoption metrics (Inactive context: Removing friction to return)']",['Track daily ai_tutor metrics • Track in inactive phase'],"{'stage': 'inactive', 'description': 'Dormant - Win-Back Campaign', 'goal_modifier': 'compelling return value proposition', 'focus': 'Removing friction to return'}"
