user_id,lifecycle_stage,days_since_signup,age_band,region,sessions_last_7d,exercises_completed_7d,streak_current,coins_balance,feature_ai_tutor_used,feature_leaderboard_viewed,feature_progress_checked,preferred_hour,notif_open_rate_30d,motivation_score,gamification_propensity,ai_tutor_propensity,leaderboard_propensity,activation_score
US_1,paid,119,25-34,tier2,5,16,22,453.0,False,False,True,7,0.304,0.65,0.8451967510961655,0.736032886821222,0.269035618602983,0.6766946693399224
US_2,churned,126,25-34,tier2,0,0,0,5.0,False,False,True,18,0.111,0.37,0.2586353498654457,0.2308370386107788,0.22248497116428625,0.11935894179063475
US_3,trial,3,25-34,tier2,9,9,5,90.0,False,True,True,9,0.435,0.51,0.37271136195642496,0.5125585529935294,0.6620930290428039,0.5496672821290178
US_4,paid,22,18-24,tier1,7,6,22,139.0,False,True,True,15,0.483,0.77,0.4919511731498632,0.4090967945882661,0.7122583652277408,0.6939951205187238
US_5,churned,117,25-34,tier2,0,0,0,18.0,False,False,False,9,0.129,0.39,0.2726011345908034,0.2308370386107788,0.2256107922340912,0.1322206557221931
US_6,trial,2,25-34,tier2,6,3,7,27.0,False,False,True,8,0.315,0.86,0.30113031636163634,0.3131043974139675,0.3077351508737113,0.4999986272456474
US_7,inactive,35,35-44,tier3,0,0,0,176.9,False,True,False,20,0.069,0.25,0.47347662268947066,0.2308370386107788,0.6079952606514125,0.06926477714386062
US_8,trial,5,25-34,tier2,11,3,5,18.0,False,False,True,13,0.38,0.52,0.28552843987612525,0.3131043974139675,0.24668112561308728,0.48719296746236207
US_9,trial,1,25-34,tier2,3,3,1,27.0,False,False,True,8,0.489,0.87,0.2851540180635966,0.3131043974139675,0.309653650528525,0.4932012359019191
US_10,inactive,59,35-44,tier3,0,0,0,10.0,False,False,False,7,0.078,0.22,0.26395126397819335,0.2308370386107788,0.20003194094533513,0.06474099839701895
US_11,inactive,17,35-44,tier3,0,0,0,24.0,False,False,False,7,0.057,0.14,0.27920361561500173,0.2308370386107788,0.18877104501173528,0.03421659821732141
US_12,paid,81,25-34,tier2,8,4,15,159.0,False,True,True,19,0.352,0.73,0.4969998074374999,0.343816909533967,0.7048325406257985,0.5721814937423639
US_13,paid,17,25-34,tier2,16,7,12,315.0,False,True,True,8,0.39,0.9,0.6918406881314566,0.4431505498819039,0.7356049602306505,0.756270979685647
US_14,trial,1,35-44,tier3,4,5,4,50.0,False,True,True,10,0.318,0.62,0.3199964642404449,0.37589342116230046,0.6838509963876926,0.41149811201963254
US_15,churned,92,18-24,tier1,0,1,0,16.0,False,False,False,20,0.047,0.26,0.27042212842689234,0.2564931942483056,0.20584840163546475,0.07456497092677543
US_16,trial,2,25-34,tier2,4,8,2,80.0,False,False,False,20,0.266,0.69,0.3510917075376953,0.4777471371839312,0.2761658704908094,0.430559852630842
US_17,paid,118,18-24,tier1,12,16,14,352.0,True,True,True,19,0.347,0.53,0.7385126185931707,0.8759057805031194,0.6661038618078805,0.7013753520068579
US_18,paid,87,25-34,tier2,8,11,15,246.0,False,False,True,18,0.485,0.7,0.6147262565782726,0.5814856028159671,0.27796658510529526,0.6996363539187798
US_19,paid,38,18-24,tier1,7,5,3,188.0,False,True,True,20,0.516,0.7,0.49837685721272035,0.37589342116230046,0.6991907232795669,0.5481751512692715
US_20,trial,180,35-44,tier3,1,1,0,19.0,False,False,False,6,0.035,0.24,0.2736947451598899,0.2564931942483056,0.20292463749128886,0.07760067528915546
US_21,paid,64,35-44,tier3,6,12,19,354.0,False,True,True,5,0.455,0.83,0.7527870991233547,0.6149552625790451,0.7231855237811099,0.7347203863968775
US_22,paid,68,35-44,tier3,9,7,18,243.0,True,True,True,20,0.583,0.8,0.6199312047303425,0.6682724117813573,0.7177540295256717,0.754620542410532
US_23,trial,6,18-24,tier1,11,8,0,96.0,False,True,True,20,0.359,0.83,0.36544311485111797,0.4777471371839312,0.7231855237811099,0.5875685656093255
US_24,paid,105,25-34,tier2,13,10,12,397.0,False,True,True,19,0.276,0.58,0.7790985859586033,0.5472485656952876,0.6760255172047854,0.6163189168750648
US_25,paid,38,25-34,tier2,15,17,31,380.0,False,True,True,20,0.461,0.84,0.8039207587958114,0.7621975247617985,0.7249816176649247,1.0
US_26,paid,116,25-34,tier2,10,18,27,516.0,False,True,True,19,0.264,0.55,0.8917461341548457,0.7865209098865363,0.670090809232255,0.7570941304005949
US_27,trial,0,35-44,tier3,10,7,5,63.0,False,True,False,7,0.241,0.77,0.3386475218489446,0.4431505498819039,0.7122583652277408,0.5315471716032226
US_28,churned,109,18-24,tier1,2,0,0,33.0,False,True,False,23,0.025,0.14,0.28928883601971705,0.2308370386107788,0.5841910542209948,0.04796068884348095
US_29,paid,64,18-24,tier1,20,11,20,286.0,False,True,True,20,0.291,0.66,0.6795750306802935,0.5814856028159671,0.691573692271021,0.8041680125597938
US_30,paid,37,35-44,tier3,11,7,22,280.0,False,True,False,21,0.421,0.64,0.6779736562380145,0.4431505498819039,0.6877253773225995,0.6982881319934486
US_31,paid,54,18-24,tier1,11,13,10,398.0,False,True,True,19,0.338,0.55,0.7756029859731174,0.6473714635485545,0.670090809232255,0.6278900041435811
US_32,paid,27,18-24,tier1,12,18,13,400.0,False,True,True,22,0.57,0.82,0.7841131301955075,0.7865209098865363,0.7213822078830476,0.8886862912724921
US_33,paid,10,35-44,tier3,7,4,17,128.0,True,False,True,5,0.411,0.63,0.4608171690442358,0.5701434787433206,0.26551443640918176,0.5691002565028398
US_34,inactive,68,35-44,tier3,1,0,0,11.0,False,False,False,13,0.03,0.19,0.2650228164848709,0.2308370386107788,0.19575107440620085,0.05026925168074795
US_35,paid,19,35-44,tier3,11,14,3,396.0,True,True,True,18,0.452,0.6,0.7575397135793509,0.8423193290318077,0.6799509163166771,0.6525589137606025
US_36,paid,58,18-24,tier1,10,13,25,361.0,True,False,True,7,0.317,0.65,0.773679797077432,0.8229221597645614,0.269035618602983,0.7347522288836038
US_37,trial,6,18-24,tier1,11,2,6,12.0,True,True,False,19,0.296,0.77,0.28142608658851126,0.5009516045273626,0.7122583652277408,0.5163804656226969
US_38,paid,105,18-24,tier1,8,4,9,170.0,False,True,True,18,0.435,0.63,0.49286901473524064,0.343816909533967,0.685791422486308,0.5382344883928533
US_39,paid,19,35-44,tier3,14,9,18,294.0,True,True,True,13,0.332,0.6,0.6835599537491509,0.7269121156451132,0.6799509163166771,0.6872296433692079
US_40,trial,0,18-24,tier1,12,5,2,35.0,False,True,True,20,0.36,0.76,0.2968969515019561,0.37589342116230046,0.7104123690067381,0.5610203223871026
US_41,paid,16,18-24,tier1,10,15,23,504.0,True,True,True,17,0.521,0.52,0.8798691435754518,0.8599533239508554,0.664101403968312,0.7924764050551723
US_42,inactive,35,18-24,tier1,0,0,0,29.0,False,False,False,12,0.036,0.12,0.2847798915384552,0.2308370386107788,0.1860330186869971,0.020124151606555115
US_43,trial,6,18-24,tier1,4,7,1,77.0,True,True,False,20,0.223,0.87,0.3444283211062086,0.6682724117813573,0.7303262828415004,0.4438598559568064
US_44,trial,4,18-24,tier1,7,6,2,66.0,True,True,True,11,0.354,0.79,0.333730509189699,0.6366993197010858,0.7159292288609265,0.5111819769711587
US_45,churned,86,18-24,tier3,0,0,0,46.0,False,True,False,23,0.106,0.26,0.3042305988995437,0.2308370386107788,0.6101358388328623,0.0871824724489143
US_46,inactive,87,18-24,tier1,0,0,0,7.0,True,False,False,21,0.044,0.28,0.2607533250912449,0.4317232643999563,0.20880325635531571,0.06722464826825965
US_47,churned,142,18-24,tier1,1,1,0,35.0,False,False,False,22,0.084,0.27,0.29155911330936113,0.2564931942483056,0.20732194161241077,0.10591861916735144
US_48,paid,33,18-24,tier1,5,15,3,541.0,True,True,True,18,0.357,0.72,0.874126149332255,0.8599533239508554,0.7029587721910326,0.5774208096126962
US_49,paid,15,18-24,tier1,6,14,20,396.0,True,True,True,7,0.425,0.94,0.7953912869058721,0.8423193290318077,0.7425394012392135,0.7824805712956379
US_50,paid,19,18-24,tier1,12,4,16,131.0,True,False,True,19,0.549,0.73,0.46172971478198543,0.5701434787433206,0.2834118262229484,0.7135118658956742
US_51,trial,1,18-24,tier1,5,5,2,50.0,False,True,True,11,0.328,0.47,0.31442904872136185,0.37589342116230046,0.6540014754789422,0.3744197276770603
US_52,paid,94,18-24,tier1,6,9,5,318.0,True,False,True,20,0.425,0.68,0.675966046593324,0.7269121156451132,0.2743723883885491,0.5518141828370627
US_53,trial,7,18-24,tier1,6,4,5,60.0,False,True,False,19,0.247,0.7,0.3349564284388748,0.343816909533967,0.6991907232795669,0.4263334892156082
US_54,churned,48,18-24,tier1,0,0,0,12.0,False,False,True,11,0.138,0.4,0.26609714646373583,0.2308370386107788,0.22718532903343494,0.13865151268797227
US_55,trial,0,18-24,tier1,7,6,3,30.0,False,False,True,19,0.41,0.63,0.29383984104965044,0.4090967945882661,0.26551443640918176,0.4971055586091212
US_56,trial,3,18-24,tier1,7,10,5,140.0,False,False,False,22,0.481,0.78,0.43900862415761893,0.5472485656952876,0.2926289754086965,0.6271973095683043
US_57,inactive,84,18-24,tier1,0,0,0,27.0,False,False,False,22,0.027,0.06,0.28254134904226225,0.2308370386107788,0.17800302756473765,0.0
US_58,inactive,61,18-24,tier1,0,0,0,15.0,False,False,False,8,0.034,0.24,0.2693367451793919,0.2308370386107788,0.20292463749128886,0.05216757029161224
US_59,paid,89,18-24,tier1,8,17,10,555.0,True,True,True,21,0.429,0.93,0.8913911268374335,0.8902729798243018,0.7408169803264528,0.7753310405520266
US_60,paid,57,18-24,tier1,9,7,21,183.0,True,True,True,22,0.38,0.53,0.5491693906673444,0.6682724117813573,0.6661038618078805,0.617702516820291
US_61,paid,94,18-24,tier1,13,10,4,303.0,True,True,True,12,0.537,0.79,0.6547120899527162,0.753678258577037,0.7159292288609265,0.7267569149782459
